"id","english_name","korean_name","aliases","sort_order"
"animatronic","Animatronic","","","1"
"artist","Artist","","","2"
"blight","Blight","","","3"
"cannibal","Cannibal","","","4"
"cenobite","Cenobite","","","5"
"clown","Clown","","","6"
"dark-lord","Dark Lord","","","7"
"deathslinger","Deathslinger","","","8"
"demogorgon","Demogorgon","","","9"
"doctor","Doctor","","","10"
"dredge","Dredge","","","11"
"executioner","Executioner","","","12"
"first","First","","","13"
"ghost-face","Ghost Face","","","14"
"ghoul","Ghoul","","","15"
"good-guy","Good Guy","","","16"
"hag","Hag","","","17"
"hillbilly","Hillbilly","","","18"
"houndmaster","Houndmaster","","","19"
"huntress","Huntress","","","20"
"judgement","Judgement","","","21"
"knight","Knight","","","22"
"krasue","Krasue","","","23"
"legion","Legion","","","24"
"lich","Lich","","","25"
"mastermind","Mastermind","","","26"
"nemesis","Nemesis","","","27"
"nightmare","Nightmare","","","28"
"nurse","Nurse","","","29"
"oni","Oni","","","30"
"onryo","Onryō","","","31"
"pig","Pig","","","32"
"plague","Plague","","","33"
"shape","Shape","","","34"
"singularity","Singularity","","","35"
"skull-merchant","Skull Merchant","","","36"
"slasher","Slasher","","","37"
"spirit","Spirit","","","38"
"trapper","Trapper","트래퍼","덫구","39"
"trickster","Trickster","","","40"
"twins","Twins","","","41"
"unknown","Unknown","","","42"
"wraith","Wraith","","","43"
"xenomorph","Xenomorph","","","44"
